comm_yr_id,projid,samp.type,spp.type
Akhiok_1982_19,19,CEN,A
Akhiok_1986_67,67,OPP,A
Akhiok_1989_62,62,CEN,A
Akhiok_1992_85,85,CEN,A
Akhiok_1995_100,100,CEN,MM
Akhiok_1996_104,104,CEN,MM
Akhiok_1997_113,113,CEN,MM
Akhiok_1998_118,118,CEN,MM
Akhiok_2000_131,131,CEN,MM
Akhiok_2001_150,150,CEN,MM
Akhiok_2002_157,157,CEN,MM
Akhiok_2003_158,158,CEN,MM
Akhiok_2003_171,171,UNK,A
Akhiok_2004_169,169,CEN,MM
Akhiok_2004_180,180,UNK,F
Akhiok_2005_169,169,CEN,MM
Akhiok_2006_169,169,CEN,MM
Akhiok_2007_169,169,CEN,MM
Akhiok_2008_169,169,CEN,MM
Angoon_1984_13,13,RAND,A
Angoon_1987_15,15,SRS,A
Angoon_1995_100,100,CHR,MM
Angoon_1996_104,104,CHR,MM
Angoon_1996_105,105,RAND,A
Angoon_1997_113,113,CHR,MM
Angoon_1998_118,118,CHR,MM
Angoon_2000_131,131,CHR,MM
Angoon_2001_150,150,CHR,MM
Angoon_2002_157,157,CHR,MM
Angoon_2003_158,158,CHR,MM
Angoon_2004_169,169,CHR,MM
Angoon_2005_169,169,CHR,MM
Angoon_2006_169,169,CHR,MM
Angoon_2007_169,169,CHR,MM
Angoon_2008_169,169,UNK,MM
Angoon_2012_210,210,UNK,A
Beecher Pass_1987_15,15,SRS,A
Beluga_2006_187,187,UNK,A
Chenega_1984_40,40,CEN,A
Chenega_1985_41,41,CEN,A
Chenega_1989_63,63,CEN,A
Chenega_1990_81,81,CEN,A
Chenega_1991_91,91,CEN,A
Chenega_1992_92,92,CEN,A
Chenega_1993_93,93,CEN,A
Chenega_1995_100,100,CEN,MM
Chenega_1996_104,104,CEN,MM
Chenega_1997_113,113,CEN,MM
Chenega_1997_117,117,CEN,A
Chenega_1998_118,118,CEN,MM
Chenega_2000_130,130,UNK,B
Chenega_2000_131,131,CEN,MM
Chenega_2001_150,150,CEN,MM
Chenega_2002_157,157,CEN,MM
Chenega_2003_158,158,CEN,MM
Chenega_2003_171,171,UNK,A
Chenega_2004_169,169,CEN,MM
Chenega_2005_169,169,CEN,MM
Chenega_2006_169,169,CEN,MM
Chenega_2007_169,169,CEN,MM
